"annotation_id","annotator","answer","bloom","created_at","id","lead_time","question","updated_at"
62,"1","Quy trình nhập khẩu mẫu bệnh phẩm để kiểm định, thử thực địa, dùng làm mẫu đăng ký bao gồm nộp hồ sơ về Bộ Y tế (Cục Y tế dự phòng Việt Nam) và trong vòng 15 ngày làm việc kể từ ngày nhận đủ hồ sơ hợp lệ, Bộ Y tế (Cục Y tế dự phòng Việt Nam) tiến hành xem xét và trả lời bằng văn bản về việc đồng ý hoặc không đồng ý cấp giấy phép nhập khẩu. Theo Điều 2.2.2 của Thông tư số 15/2023/TT-BYT.","Understand","2025-06-27T18:48:30.296127Z",1015,38.626,"Tóm tắt quy trình nhập khẩu mẫu bệnh phẩm để kiểm định, thử thực địa, dùng làm mẫu đăng ký?","2025-06-27T18:48:30.296147Z"
63,"1","Lệ phí công bố sản phẩm mỹ phẩm được thực hiện theo quy định hiện hành. Theo Điều 3 của Thông tư số 06/2011/TT-BYT.","Remember","2025-06-28T08:06:58.159848Z",1016,17.481,"Lệ phí công bố sản phẩm mỹ phẩm được thực hiện theo quy định nào?","2025-06-28T08:06:58.159874Z"
64,"1","Trong lĩnh vực YHDT. Theo điểm 3 của Thông tư số 195/2014/TT-BYT.","Remember","2025-06-28T08:07:24.721635Z",1017,26.152,"Y, bác sĩ chuyên khoa YHDT có đủ điều kiện hành nghề được cấp giấy phép đăng ký hành nghề khám bệnh, chữa bệnh trong lĩnh vực nào?","2025-06-28T08:07:24.721672Z"
65,"1","Điều 22 Luật Khám bệnh, chữa bệnh quy định: Việc thừa nhận chứng chỉ hành nghề khám bệnh, chữa bệnh giữa các nước được thực hiện theo quy định của thỏa thuận quốc tế hoặc điều ước quốc tế mà Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên.","Remember","2025-06-28T08:07:36.737647Z",1018,11.54,"Việc thừa nhận chứng chỉ hành nghề giữa các nước như thế nào ?","2025-06-28T08:07:36.737684Z"
66,"1","Tổ chức đánh giá sự phù hợp trong lĩnh vực GACP-WHO là tổ chức có đủ điều kiện quy định do Bộ Y tế chỉ định. Theo Điều 5 của Thông tư số 195/2014/TT-BYT.","Remember","2025-06-28T08:07:53.967293Z",1019,16.489,"Tổ chức đánh giá sự phù hợp trong lĩnh vực GACP-WHO là gì?","2025-06-28T08:07:53.967320Z"
67,"1","Thương nhân, tổ chức xin phép nhập khẩu gửi hồ sơ về Bộ Y tế (Cục Y tế dự phòng Việt Nam) và trong vòng 15 ngày làm việc kể từ ngày nhận đủ hồ sơ hợp lệ, Bộ Y tế (Cục Y tế dự phòng Việt Nam) tiến hành xem xét và trả lời bằng văn bản về việc đồng ý hoặc không đồng ý cấp giấy phép nhập khẩu.","Remember","2025-06-28T08:08:06.736741Z",1020,12.328,"Thủ tục nhập khẩu mẫu bệnh phẩm để kiểm định, thử thực địa là gì?","2025-06-28T08:08:06.736783Z"
68,"1","Theo Điều 3 của Thông tư số 06/2011/TT-BYT, các tổ chức, cá nhân chịu trách nhiệm đưa sản phẩm mỹ phẩm ra thị trường chỉ được phép đưa mỹ phẩm ra lưu thông khi đã được cơ quan quản lý nhà nước có thẩm quyền cấp số tiếp nhận Phiếu công bố sản phẩm mỹ phẩm và phải hoàn toàn chịu trách nhiệm về tính an toàn, hiệu quả và chất lượng sản phẩm.","Understand","2025-06-28T08:08:13.943231Z",1021,6.758,"Tóm tắt quy định về việc công bố sản phẩm mỹ phẩm?","2025-06-28T08:08:13.943274Z"
69,"1","Khoản 2 Điều 25 Luật Khám bệnh, chữa bệnh quy định chứng chỉ hành nghề được cấp một lần và có giá trị trong phạm vi cả nước, không qui định thời hạn.","Remember","2025-06-28T08:08:18.641814Z",1022,4.288,"Chứng chỉ hành nghề có thời hạn bao nhiêu năm và có giá trị như thế nào ?","2025-06-28T08:08:18.641843Z"
70,"1","Tiêm chủng là việc đưa vắc xin vào cơ thể con người với mục đích tạo cho cơ thể khả năng đáp ứng miễn dịch để dự phòng bệnh tật. Theo Điều 2 của Thông tư này.","Remember","2025-06-28T08:08:23.730896Z",1023,4.703,"Tiêm chủng là gì?","2025-06-28T08:08:23.730938Z"
71,"1","Thừa nhận giấy phép hành nghề khám bệnh, chữa bệnh y học cổ truyền do cơ quan, tổ chức có thẩm quyền của nước ngoài cấp (Mã thủ tục hành chính: 1. 012277). Theo Điều 2 của Thông tư số .../TT-BYT.","Remember","2025-06-28T08:08:35.123587Z",1024,10.98,"Một bác sĩ y học cổ truyền muốn cấp giấy phép hành nghề khám bệnh, chữa bệnh y học cổ truyền. Thủ tục hành chính nào cần thực hiện?","2025-06-28T08:08:35.123626Z"
