question,answer,source_link,topic
Kê khai giá thuốc gồm những thủ tục gì?,"Thủ tục kê khai giá thuốc quy định tại Điều 130 Nghị định số 54/2017/NĐ-CP ngày 08 tháng 5 năm 2017 của Chính phủ quy định chi tiết một số điều về biện pháp thi hành Luật dược và Khoản 67, 68 và 69 Điều 5 Nghị định số 155/2018/NĐ-CP ngày 12/11/2018 của Chính phủ sửa đổi, bổ sung một số quy định liên quan đến điều kiện đầu tư kinh doanh thuộc phạm vi quản lý nhà nước của Bộ Y tế gồm 03 thủ tục: - Hồ sơ Kê khai giá thuốc - Hồ sơ Kê khai lại giá thuốc - Hồ sơ đề nghị bổ sung, thay đổi thông tin của thuốc đã kê khai, kê khai lại giá",https://dichvucong.moh.gov.vn/web/guest/hoi-dap?p_p_id=hoidap_WAR_oephoidapportlet&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_hoidap_WAR_oephoidapportlet_jspPage=%2Fhtml%2Fhoidap%2Fportlet%2Fguihoidap%2Ftimkiem_cauhoi.jsp&_hoidap_WAR_oephoidapportlet_searchString=&_hoidap_WAR_oephoidapportlet_linhvuc_id=23&_hoidap_WAR_oephoidapportlet_delta=75&_hoidap_WAR_oephoidapportlet_resetCur=false&_hoidap_WAR_oephoidapportlet_cur=2,Thủ tục hành chính lĩnh vực Dược
"Tôi muốn kinh doanh xuất nhập khẩu thuốc, tôi cần thực hiện những thủ tục nào?",Thực hiện thủ tục đề nghị cấp Giấy chứng nhận đủ điều kiện kinh doanh dược (Thủ tục số A-10 tại Quyết định số 648/QĐ-BYT ngày 20/02/2019),https://dichvucong.moh.gov.vn/web/guest/hoi-dap?p_p_id=hoidap_WAR_oephoidapportlet&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_hoidap_WAR_oephoidapportlet_jspPage=%2Fhtml%2Fhoidap%2Fportlet%2Fguihoidap%2Ftimkiem_cauhoi.jsp&_hoidap_WAR_oephoidapportlet_searchString=&_hoidap_WAR_oephoidapportlet_linhvuc_id=23&_hoidap_WAR_oephoidapportlet_resetCur=false&_hoidap_WAR_oephoidapportlet_delta=75,Thủ tục hành chính lĩnh vực Dược
Những người như thế nào thì được gọi là lương y? xin thẩm định lần tiếp theo?,"Khoản 8 Điều 2 Luật Khám bệnh, chữa bệnh quy định: Lương y là người có hiểu biết về lý luận y dược học cổ truyền, có kinh nghiệm khám bệnh, chữa bệnh bằng phương pháp y dược học cổ truyền có dùng thuốc hoặc không dùng thuốc được Bộ Y tế hoặc Sở Y tế công nhận sau khi có ý kiến của Hội đồng y trung ương hoặc Hội đông y cấp tỉnh.",https://dichvucong.moh.gov.vn/web/guest/hoi-dap?p_p_id=hoidap_WAR_oephoidapportlet&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_hoidap_WAR_oephoidapportlet_jspPage=%2Fhtml%2Fhoidap%2Fportlet%2Fguihoidap%2Ftimkiem_cauhoi.jsp&_hoidap_WAR_oephoidapportlet_searchString=&_hoidap_WAR_oephoidapportlet_linhvuc_id=5&_hoidap_WAR_oephoidapportlet_resetCur=false&_hoidap_WAR_oephoidapportlet_delta=75,"Thủ tục hành chính lĩnh vực Cấp chứng chỉ hành nghề và giấy phép hoạt động khám bệnh, chữa bệnh"
Cơ sở y tế muốn được đánh giá năng lực thực hiện xét nghiệm thì liên hệ với đơn vị nào?,"Theo quy định tại khoản 4 Điều 17 Nghị định số 155/ cơ sở y tế muốn được đánh giá năng lực thực hiện xét nghiệm thì cần liên hệ với cơ sở xét nghiệm HIV được Bộ Y tế công nhận. Hiện nay cơ sở y tế được Bộ Y tế công nhận là Phòng xét nghiệm tham chiếu quốc gia về xét nghiệm HIV tại Khoa HIV/AIDS, Viện Vệ sinh dịch tễ Trung ương và Khoa Xét nghiệm Sinh học lâm sàng, Viện Pasteur Thành phố Hồ Chí Minh.",https://dichvucong.moh.gov.vn/web/guest/hoi-dap?p_p_id=hoidap_WAR_oephoidapportlet&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_hoidap_WAR_oephoidapportlet_jspPage=%2Fhtml%2Fhoidap%2Fportlet%2Fguihoidap%2Ftimkiem_cauhoi.jsp&_hoidap_WAR_oephoidapportlet_linhvuc_id=4,"Thủ tục cấp, điều chỉnh Giấy chứng nhận đủ điều kiện xét nghiệm khẳng định các trường hợp HIV dương tính"
Cơ sở muốn thực hiện hoạt động kiểm định trang thiết bị y tế phải thực hiện các thủ tục gì?,"Theo quy định tại Nghị định số 107/2016/NĐ-CP ngày 01 tháng 7 năm 2016 của Chính phủ quy định về điều kiện kinh doanh dịch vụ đánh giá sự phù hợp và Nghị định số 154/2018/NĐ-CP ngày 09 tháng 11 năm 2018 của Chính phủ sửa đổi, bổ sung, bãi bỏ một số quy định về điều kiện đầu tư, kinh doanh trong lĩnh vực quản lý nhà nước của Bộ Khoa học và Công nghệ: cơ sở muốn thực hiện hoạt động kiểm định trang thiết bị y tế phải có Giấy chứng nhận đăng ký hoạt động kiểm định trang thiết bị y tế. Cơ sở chỉ được kiểm định trong phạm vi được nêu trong Giấy chứng nhận đăng ký hoạt động kiểm định trang thiết bị y tế của cơ sở.",https://dichvucong.moh.gov.vn/web/guest/hoi-dap?p_p_id=hoidap_WAR_oephoidapportlet&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_hoidap_WAR_oephoidapportlet_jspPage=%2Fhtml%2Fhoidap%2Fportlet%2Fguihoidap%2Ftimkiem_cauhoi.jsp&_hoidap_WAR_oephoidapportlet_searchString=&_hoidap_WAR_oephoidapportlet_linhvuc_id=19&_hoidap_WAR_oephoidapportlet_resetCur=false&_hoidap_WAR_oephoidapportlet_delta=75,Trang thiết bị và sinh phẩm y tế
"Đội khám bệnh, chữa bệnh chữ thập đỏ lưu động là gì?","Khoản 3 Điều 2 Thông tư 30 quy định: Đội khám bệnh, chữa bệnh chữ thập đỏ lưu động là đội khám bệnh,chữa bệnh do Hội Chữ thập đỏ Việt Nam thành lập để khám bệnh, chữa bệnh nhân đạo cho nhân dân ở những nơi có điều kiện kinh tế - xã hội đặc biệt khó khăn hoặc những nơi xảy ra thiên tai, thảm họa, dịch bệnh và địa bàn khác khi có nhu cầu.",https://dichvucong.moh.gov.vn/web/guest/hoi-dap?p_p_id=hoidap_WAR_oephoidapportlet&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_hoidap_WAR_oephoidapportlet_jspPage=%2Fhtml%2Fhoidap%2Fportlet%2Fguihoidap%2Ftimkiem_cauhoi.jsp&_hoidap_WAR_oephoidapportlet_searchString=&_hoidap_WAR_oephoidapportlet_linhvuc_id=5&_hoidap_WAR_oephoidapportlet_resetCur=false&_hoidap_WAR_oephoidapportlet_delta=75,"Thủ tục hành chính lĩnh vực Cấp chứng chỉ hành nghề và giấy phép hoạt động khám bệnh, chữa bệnh"
"Điều kiện cho phép đoàn khám bệnh, chữa bệnh nhân đạo nước ngoài là gì?","Điều 6 Thông tư 30 quy định đoàn khám bệnh, chữa bệnh nhân đạo nước ngoài khi thực hiện khám bệnh, chữa bệnh nhân đạo, ngoài việc đáp ứng các điều kiện quy định tại Khoản 1, Điểm c Khoản 2 và các Khoản 3, 4, 5 và 6 Điều 5 Thông tư 30 (xem trả lời câu 148) còn phải đáp ứng các điều kiện sau đây: 1. Người chịu trách nhiệm chuyên môn kỹ thuật phải đáp ứng một trong các điều kiện sau: a) Là bác sỹ có chứng chỉ hành nghề do Bộ Y tế hoặc Sở Y tế cấp theo quy định của pháp luật về khám bệnh, chữa bệnh hoặc có chứng chỉ hành nghề khám bệnh, chữa bệnh được Chính phủ Việt Nam thừa nhận theo quy định tại Điều 22 Luật Khám bệnh, chữa bệnh; biết tiếng Việt thành thạo hoặc đăng ký ngôn ngữ sử dụng khi khám bệnh, chữa bệnh và thực hiện quy định tại Điều 23 Luật Khám bệnh, chữa bệnh. Điều 23 Luật Khám bệnh, chữa bệnh quy định: 1. Người nước ngoài, người Việt Nam định cư ở nước ngoài trực tiếp khám bệnh, chữa bệnh cho người Việt Nam phải biết tiếng Việt thành thạo; trường hợp không biết tiếng Việt thành thạo thì phải đăng ký ngôn ngữ sử dụng và có ngườ",https://dichvucong.moh.gov.vn/web/guest/hoi-dap?p_p_id=hoidap_WAR_oephoidapportlet&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_hoidap_WAR_oephoidapportlet_jspPage=%2Fhtml%2Fhoidap%2Fportlet%2Fguihoidap%2Ftimkiem_cauhoi.jsp&_hoidap_WAR_oephoidapportlet_searchString=&_hoidap_WAR_oephoidapportlet_linhvuc_id=5&_hoidap_WAR_oephoidapportlet_resetCur=false&_hoidap_WAR_oephoidapportlet_delta=75,"Thủ tục hành chính lĩnh vực Cấp chứng chỉ hành nghề và giấy phép hoạt động khám bệnh, chữa bệnh"
Tôi muốn mở một cơ sở kinh doanh dịch vụ kiểm nghiệm tôi cần thực hiện những thủ tục nào?,Thực hiện thủ tục đề nghị cấp Giấy chứng nhận đủ điều kiện kinh doanh dược. Thủ tục số 01 tại Quyết định số 5229/QĐ-BYT ngày 29/8/2018,https://dichvucong.moh.gov.vn/web/guest/hoi-dap?p_p_id=hoidap_WAR_oephoidapportlet&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_hoidap_WAR_oephoidapportlet_jspPage=%2Fhtml%2Fhoidap%2Fportlet%2Fguihoidap%2Ftimkiem_cauhoi.jsp&_hoidap_WAR_oephoidapportlet_searchString=&_hoidap_WAR_oephoidapportlet_linhvuc_id=23&_hoidap_WAR_oephoidapportlet_resetCur=false&_hoidap_WAR_oephoidapportlet_delta=75,Thủ tục hành chính lĩnh vực Dược
"Sau khi được nộp hồ sơ, bao nhiêu lâu thì Sở Y tế sẽ tổ chức đánh giá GDP","Trong thời hạn 20 ngày, Sở Y tế sẽ tiến hành đánh giá thực tế",https://dichvucong.moh.gov.vn/web/guest/hoi-dap?p_p_id=hoidap_WAR_oephoidapportlet&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_hoidap_WAR_oephoidapportlet_jspPage=%2Fhtml%2Fhoidap%2Fportlet%2Fguihoidap%2Ftimkiem_cauhoi.jsp&_hoidap_WAR_oephoidapportlet_searchString=&_hoidap_WAR_oephoidapportlet_linhvuc_id=23&_hoidap_WAR_oephoidapportlet_resetCur=false&_hoidap_WAR_oephoidapportlet_delta=75,Thủ tục hành chính lĩnh vực Dược
"Kinh phí hoạt động xét tặng TTND, TTUT được Thủ trưởng đơn vị bố trí từ nguồn nào của đơn vị?","Theo Điều 8 Nghị định 41/2015/NĐ-CP Thủ trưởng đơn vị có trách nhiệm bố trí kinh phí hoạt động xét tặng danh hiệu TTND-TTUT trích từ quỹ thi đua, khen thưởng của đơn vị hoặc nguồn xã hội hóa hợp pháp.",https://dichvucong.moh.gov.vn/web/guest/hoi-dap?p_p_id=hoidap_WAR_oephoidapportlet&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_hoidap_WAR_oephoidapportlet_jspPage=%2Fhtml%2Fhoidap%2Fportlet%2Fguihoidap%2Ftimkiem_cauhoi.jsp&_hoidap_WAR_oephoidapportlet_searchString=&_hoidap_WAR_oephoidapportlet_linhvuc_id=20&_hoidap_WAR_oephoidapportlet_resetCur=false&_hoidap_WAR_oephoidapportlet_delta=50,"Thủ tục xét tặng Thầy thuốc Nhân dân, Thầy thuốc Ưu tú"
Quản lý chứng chỉ hành nghề quy định như thế nào?,"Khoản 5 Điều 10 Nghị định 109/2016/NĐ-CP quy định quản lý chứng chỉ hành nghề như sau: a) Chứng chỉ hành nghề do Bộ trưởng Bộ Y tế cấp theo Mẫu 01 Phụ lục III, do Giám đốc Sở Y tế cấp theo Mẫu 02 Phụ lục III và Quyết định bổ sung phạm vi hoạt động chuyên môn trong chứng chỉ hành nghề do Bộ trưởng Bộ Y tế, Giám đốc Sở Y tế cấp theo Mẫu 03 Phụ lục III ban hành kèm theo Nghị định này. Mã ký hiệu chứng chỉ hành nghề thực hiện theo Mẫu 04 Phụ lục III ban hành kèm theo Nghị định này; phạm vi hoạt động chuyên môn ghi trong chứng chỉ hành nghề thực hiện theo hướng dẫn của Bộ trưởng Bộ Y tế. b) Cơ quan tiếp nhận hồ sơ tự in chứng chỉ hành nghề để cấp theo mẫu quy định tại điểm a khoản này, bảo đảm tính liên tục của số chứng chỉ hành nghề trong quá trình cấp và mỗi người hành nghề chỉ có một số chứng chỉ hành nghề.",https://dichvucong.moh.gov.vn/web/guest/hoi-dap?p_p_id=hoidap_WAR_oephoidapportlet&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_hoidap_WAR_oephoidapportlet_jspPage=%2Fhtml%2Fhoidap%2Fportlet%2Fguihoidap%2Ftimkiem_cauhoi.jsp&_hoidap_WAR_oephoidapportlet_searchString=&_hoidap_WAR_oephoidapportlet_linhvuc_id=5&_hoidap_WAR_oephoidapportlet_resetCur=false&_hoidap_WAR_oephoidapportlet_delta=75,"Thủ tục hành chính lĩnh vực Cấp chứng chỉ hành nghề và giấy phép hoạt động khám bệnh, chữa bệnh"
Bộ Y tế có thể giới thiệu một số đơn vị phân loại trang thiết bị y tế uy tín được không?,"Theo quy định tại Nghị định 36/2016/NĐ-CP và Nghị định 169/2018/NĐ-CP, việc phân loại phải được thực hiện bởi cơ sở đủ điều kiện phân loại. Đề nghị Doanh nghiệp vào địa chỉ http://dmec.moh.gov.vn để tra cứu các đơn vị đã được Bộ Y tế cấp phiếu tiếp nhận công bố đủ điều kiện phân loại.",https://dichvucong.moh.gov.vn/web/guest/hoi-dap?p_p_id=hoidap_WAR_oephoidapportlet&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_hoidap_WAR_oephoidapportlet_jspPage=%2Fhtml%2Fhoidap%2Fportlet%2Fguihoidap%2Ftimkiem_cauhoi.jsp&_hoidap_WAR_oephoidapportlet_searchString=&_hoidap_WAR_oephoidapportlet_linhvuc_id=19&_hoidap_WAR_oephoidapportlet_resetCur=false&_hoidap_WAR_oephoidapportlet_delta=75,Trang thiết bị và sinh phẩm y tế
