question,answer
Bảo hiểm y tế là gì?,"Bảo hiểm y tế là hình thức bảo hiểm bắt buộc được áp dụng đối với các đối tượng theo quy định của Luật BHYT để chăm sóc sức khỏe, không vì mục đích lợi nhuận do Nhà nước tổ chức thực hiện."
Cơ sở KCB BHYT ban đầu là gì?,Cơ sở KCB BHYT ban đầu là cơ sở KCB đầu tiên theo đăng ký của người tham gia BHYT và được ghi trong thẻ BHYT.
Hộ gia đình tham gia BHYT?,Hộ gia đình tham gia BHYT bao gồm toàn bộ người có tên trong sổ hộ khẩu hoặc sổ tạm trú.
Gói dịch vụ y tế cơ bản do quỹ BHYT chi trả bao gồm những gì?,"Gói dịch vụ y tế cơ bản do quỹ BHYT chi trả là những dịch vụ y tế thiết yếu để chăm sóc sức khỏe, phù hợp với khả năng chi trả của quỹ BHYT."
Nhà nước có chính sách gì đối với BHYT?,"1. Nhà nước đóng hoặc hỗ trợ tiền đóng BHYT cho người có công với cách mạng và một số nhóm đối tượng xã hội. 2. Nhà nước có chính sách ưu đãi đối với hoạt động đầu tư từ quỹ BHYT để bảo toàn và tăng trưởng quỹ. Nguồn thu của quỹ và số tiền sinh lời từ hoạt động đầu tư từ quỹ BHYT được miễn thuế. 3. Nhà nước tạo điều kiện để tổ chức, cá nhân tham gia BHYT hoặc đóng BHYT cho các nhóm đối tượng. 4. Nhà nước khuyến khích đầu tư phát triển công nghệ và phương tiện kỹ thuật tiên tiến trong quản lý BHYT."
Trách nhiệm của BHXH Việt Nam trong thực hiện BHYT?,"1. Tổ chức BHYT có chức năng thực hiện chế độ, chính sách, pháp luật về BHYT, quản lý và sử dụng quỹ BHYT. 2. Chính phủ quy định cụ thể về tổ chức, chức năng, nhiệm vụ và quyền hạn của tổ chức BHYT."
Các hành vi bị nghiêm cấm trong luật BHYT?,"1. Không đóng hoặc đóng BHYT không đầy đủ theo quy định của Luật BHYT. 2. Gian lận, giả mạo hồ sơ, thẻ BHYT. 3. Sử dụng tiền đóng BHYT, quỹ BHYT sai mục đích. 4. Cản trở, gây khó khăn hoặc làm thiệt hại đến quyền, lợi ích hợp pháp của người tham gia BHYT và của các bên liên quan đến BHYT. 5. Cố ý báo cáo sai sự thật, cung cấp sai lệch thông tin, số liệu về BHYT. 6. Lợi dụng chức vụ, quyền hạn, chuyên môn, nghiệp vụ để làm trái với quy định của pháp luật về BHYT."
Một người đồng thời thuộc nhiều đối tượng tham gia BHYT thì tham gia BHYT theo đối tượng nào?,"Trường hợp một người đồng thời thuộc nhiều đối tượng tham gia BHYT khác nhau quy định tại Điều 12 của Luật BHYT thì đóng BHYT theo đối tượng đầu tiên mà người đó được xác định theo thứ tự của các đối tượng quy định tại Điều 12 của Luật BHYT. Trường hợp Người lao động có thêm một hoặc nhiều hợp đồng lao động không xác định thời hạn hoặc hợp đồng lao động có thời hạn từ đủ 3 tháng trở lên thì đóng BHYT theo hợp đồng lao động có mức tiền lương cao nhất. Trường hợp đối tượng Người hoạt động không chuyên trách ở xã, phường, thị trấn đồng thời thuộc nhiều đối tượng tham gia BHYT khác nhau quy định tại Điều 12 của Luật BHYT thì đóng BHYT theo thứ tự như sau: do tổ chức BHXH đóng, do ngân sách nhà nước đóng, do đối tượng và Ủy ban nhân dân cấp xã đóng."
Tài khoản nộp phí là gì?,Tên đơn vị hưởng: Cục An toàn thực phẩm Số TK: 1200208026339 Tại Ngân hàng: CN Sở Giao dịch Agribank
Các Trang web cung cấp Hệ thống dịch vụ công ATTP quốc gia của Cục An toàn thực phẩm?,"Hiện nay Cục An toàn thực phẩm duy trì 3 website cung cấp Hệ thống dịch vụ công ATTP quốc gia gồm: 1. Trang web: nghidinh15.vfa.gov.vn đối với hồ sơ xin thẩm định cấp phép lưu hành, nhập khẩu, xác nhận công bố trong lĩnh vực an toàn thực phẩm; thẩm định điều kiện hành nghề, kinh doanh thuộc lĩnh vực an toàn thực phẩm 2. Trang web: xacnhanquangcao.vfa.gov.vn đối với hồ sơ xin thẩm định nội dung kịch bản phim, chương trình trên băng, đĩa, phần mềm, trên các vật liệu khác và tài liệu trong quảng cáo thực phẩm, phụ gia thực phẩm, chất hỗ trợ chế biến thuộc lĩnh vực y tế 3. Trang web: congbosanpham.vfa.gov.vn đối với hồ sơ xin thẩm định cấp phép lưu hành, nhập khẩu, xác nhận công bố đối với thuốc lá 4. Các hồ sơ khác không nằm trong danh mục thuộc Hệ thống dịch vụ công ATTP quốc gia của Cục An toàn thực phẩm phải nộp hồ sơ giấy tại Cục."
"Thời gian kiểm tra, xác nhận phí của Doanh nghiệp nộp bằng hình thức chuyển khoản ngân hàng?",Khi Doanh nghiệp nộp phí bằng hình thức chuyển khoản ngân hàng phải scan lại giấy nộp tiền và đăng lên phần xác nhận nộp phí của Hệ thống dịch vụ công ATTP quốc gia của Cục An toàn thực phẩm. Sau 3 ngày làm việc kế toán sẽ kiểm tra sổ phụ và các thông tin của Doanh nghiệp nộp phí và sẽ xác nhận phí.
Khi doanh nghiệp nộp phí bằng hình thức Keypay nhưng chưa được xác nhận mà ngân hàng vẫn trừ phí?,"Doanh nghiệp thông báo lên hệ thống Keypay yêu cầu kiểm tra: - Nếu giao dịch thành công, dịch vụ chưa thực hiện: Doanh nghiệp liên hệ với bộ phận công nghệ thông tin hỗ trợ hoặc kế toán để kiểm tra. - Nếu Giao dịch không thành công: Doanh nghiệp liên hệ Ngân hàng để thông báo hoàn trả lại tiền đã bị trừ."
Những trường hợp nào được hoàn trả lại phí đã nộp?,1. Khi doanh nghiệp nộp phí bằng hình thức Keypay hoặc chuyển khoản qua Ngân hàng trên Hệ thống dịch vụ công ATTP quốc gia của Cục An toàn thực phẩm bị trùng 02 lần. 2. Khi doanh nghiệp nộp phí không đúng nội dung quy định (Các sản phẩm không phải làm hồ sơ tại Cục nhưng Công ty không biết vẫn nộp phí).
Thời gian giải quyết hồ sơ hoàn trả phí?,"Mọi nhầm lẫn, sai sót của các cá nhân và công ty khi làm thủ tục nộp phí sẽ được Cục An toàn thực phẩm (Phòng Kế hoạch Tài chính) giải quyết trong tháng khi có đầy đủ hồ sơ, chậm nhất là trước ngày mùng 5 của tháng sau."
"Thủ tục hoàn trả phí khi nộp trùng, nộp nhầm và nộp không đúng nội dung?","Hồ sơ yêu cầu hoàn trả phí gồm: 1.Công văn trình bày rõ lý do hoàn phí. 2.Giấy nộp tiền ngân hàng bản gốc (đối với thanh toán bằng hình thức chuyển khoản ngân hàng), giao dịch thanh toán thành công (đối với thanh toán bằng hình thức Keypay) (Liên hệ Keypay qua sđt: 024.66728822/ 0983530867)."
